Unnamed: 0,TWEET,STOCK,DATE,LAST_PRICE,1_DAY_RETURN,2_DAY_RETURN,3_DAY_RETURN,7_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY,MENTION,STOCK_CODE,cleaned_text
5152,"RT @21CF: The remarkable story of Blue Sky’s Academy Award-winning CGI Studio renderer, why it took 30 years to be recognized… ",21CF,2017-03-31,32.39,-0.0009262117937635,-0.0086446434084594,0.001543686322939,-0.0268601420191417,6709777.0,13.93,13.702,1,0.375,@21CF,21CF,"['rt', 'remarkable', 'story', 'blue', 'skys', 'academy', 'awardwinning', 'cgi', 'studio', 'renderer', 'took', 'years', 'recognized']"
690,"RT @StudentBunker: #FreebieFriday time! Simply #RT, #Like &amp; #Share to #WIN a £20 @ASOS gift card! #Competition ends Weds @ MIDNIGHT https:/…",ASOS,2017-01-31,5266.0,-0.0125332320546904,0.0083554880364603,0.0083554880364603,-0.0206988226357766,342823.0,32.806999999999995,28.367,1,0.0,@ASOS,ASOS,"['rt', 'freebiefriday', 'time', 'simply', 'rt', 'like', 'amp', 'share', 'win', 'gift', 'card', 'competition', 'ends', 'weds', 'midnight']"
1079,"RT @StudentBunker: #Competition time! 💖 Simply #RT, #Like &amp; #Share to #WIN a £20 @ASOS gift card! #Competition ends Weds @ MIDNIGHT 💖",ASOS,2017-01-31,5266.0,-0.0125332320546904,0.0083554880364603,0.0083554880364603,-0.0206988226357766,342823.0,32.806999999999995,28.367,1,0.0,@ASOS,ASOS,"['rt', 'competition', 'time', 'simply', 'rt', 'like', 'amp', 'share', 'win', 'gift', 'card', 'competition', 'ends', 'weds', 'midnight']"
5168,"@VelveteenFemme @ASOS I like it but would probably only buy if it came up in the sale, it's not £35 nice if u know what I mean",ASOS,2017-03-31,6045.0,0.0115798180314309,0.0046319272125723,-0.0009925558312655,-0.0102564102564102,519989.0,14.232,14.685,-1,0.0958333333333333,@ASOS,ASOS,"['like', 'would', 'probably', 'buy', 'came', 'sale', 'not', 'nice', 'u', 'know', 'mean']"
6678,"#End of month, first day of #summer @ASOS #payday https://t.co/bTGamIaUAU",ASOS,2017-04-28,5820.0,-0.0266323024054982,-0.0333333333333333,-0.0121993127147766,-0.0379725085910652,660164.0,28.034,29.384,-1,0.25,@ASOS,ASOS,"['end', 'month', 'first', 'day', 'summer', 'payday']"
9751,"@devabeauty1 @amyrowlandsx @ASOS And these plus size queens are actually just regular sizes, it's down to the size… https://t.co/U1dkkJPN44",ASOS,2017-06-30,5749.0,-0.0040006957731779,0.0144372934423378,0.0146112367368237,0.0097408244912158,356870.0,27.046,26.299,1,-0.0518518518518518,@ASOS,ASOS,"['plus', 'size', 'queens', 'actually', 'regular', 'sizes', 'size']"
9752,"RT @miss_magpie_spy: @Autumns_Mummy @MaisyMeowBlog @SianKNotIn3D @amyrowlandsx @ASOS Sorry to jump in, but you might like my blog. I ill… ",ASOS,2017-06-30,5749.0,-0.0040006957731779,0.0144372934423378,0.0146112367368237,0.0097408244912158,356870.0,27.046,26.299,-1,-0.5,@ASOS,ASOS,"['rt', 'sorry', 'jump', 'might', 'like', 'blog', 'ill']"
10007,"@therealmvpxo @MaisyMeowBlog @amyrowlandsx @ASOS The fuck they own the size plus , the tall girl and small one etc....",ASOS,2017-06-30,5749.0,-0.0040006957731779,0.0144372934423378,0.0146112367368237,0.0097408244912158,356870.0,27.046,26.299,-1,-0.0166666666666666,@ASOS,ASOS,"['fuck', 'size', 'plus', 'tall', 'girl', 'small', 'one', 'etc']"
11137,"♡ @ASOS #noRetouching policy 4their #models #photos This is great! #RealBodies 4this yrs #swimsuits #summer #Asos 
https://t.co/uEndLaxg0h",ASOS,2017-07-01,5749.0,0.0,-0.0040006957731779,0.0144372934423378,0.0097408244912158,356870.0,27.046,26.299,1,1.0,@ASOS,ASOS,"['noretouching', 'policy', 'models', 'photos', 'great', 'realbodies', 'yrs', 'swimsuits', 'summer', 'asos']"
12590,"I'm so pissed off about this suit shit , @ASOS got me fucked up with this ordering shit",ASOS,2017-08-01,5861.0,-0.0141614059034294,-0.003924245009384,-0.003924245009384,-0.0298583859409657,219456.0,18.175,19.979,-1,-0.3333333333333333,@ASOS,ASOS,"['im', 'pissed', 'suit', 'shit', 'got', 'fucked', 'ordering', 'shit']"
