label,Low,Med,High
Brand Boycott,-0.018795,0.021952,-0.007214
CEO Resignation (implied pressure on CEO),,,-0.005664
Customer Lawsuit,,0.051803,0.001375
Customer Lawsuit (potential - expressed frustration could lead to legal action),,,0.055854
Cybersecurity Risk,,-0.009875,0.005184
Data Breach Incident,,-0.009875,0.005184
ESG Scandal,,0.059500,-0.018473
Election Result Impact,,-0.023986,0.000873
Employment Data,,,-0.001576
Environmental Impact,,0.004461,
Fiscal Stimulus,,0.049173,0.006599
Geopolitical Tension,,0.005291,-0.032020
Industry Regulation Change,,0.012892,
Influencer Endorsement,-0.035469,0.015200,
Leadership Change,,0.015283,-0.005664
Litigation Risk,,-0.001146,-0.005664
Lobbying Activity (implied - falls under Regulatory Relaxation as the aim is to *ease* supervision),,-0.012825,
Meme Stock Activity,0.009391,-0.022909,
Negative Press,,0.006435,-0.009705
New Product Launch,0.018614,-0.019135,
None of the provided tags are relevant to this text. It is an advertisement for an item for sale on eBay.,0.018614,,
None of the provided tags are relevant to this text. It is an advertisement for vintage porcelain plates on eBay.,,0.018192,
None of the provided tags are relevant to this text. It is simply an advertisement for a product (matcha green tea) on eBay.,0.011417,,
None of the provided tags are relevant to this text. It's a motivational tweet from Danone and doesn't contain any financial or market-related information.,,,0.015216
None of the provided tags are relevant to this text. This is a customer review of a service experience and does not contain any financial or market-related information.,,-0.096354,
None of the provided tags are relevant to this text. This is a listing for an item on eBay and does not contain any financial or market-related information.,0.018614,,
None of the provided tags are relevant to this text. This is a product listing/advertisement for a necklace on eBay.,-0.057807,,
None of the provided tags are relevant to this text. This is an advertisement for a collectible item on eBay.,0.036631,,
None of the provided tags are relevant to this text. This is an advertisement for art being sold on eBay.,,0.018192,
None of the provided tags are relevant to this text. This is an advertisement for jewelry on eBay.,,0.015160,
None of the provided tags are relevant to this text. This is simply an advertisement for a used laptop on eBay.,0.000590,,
None.,,,0.036485
Policy Change (implied - relating to environmental regulations),,0.004461,
Political Commentary (though not a direct market event,,,0.035772
Political Risk,,,0.000873
Political Sentiment,,0.058312,
Positive Media Coverage,,0.006510,0.018266
Positive Media Coverage (potential,,0.036485,
Positive Media Coverage (potentially,,-0.061634,
"Product Recall (implied - ""bricked"" suggests a faulty update leading to unusable devices)",,0.034155,
Regulatory Crackdown,,-0.004182,0.007052
Regulatory Relaxation,,-0.012825,
Retail Investor Buzz,-0.016939,-0.005865,-0.002104
Retail Investor Buzz (potentially,,,-0.001517
Social Media Backlash,-0.018795,0.021267,-0.001407
Social Media Backlash (potential,0.011417,0.036485,
Social Media Backlash (potentially,,,0.005137
Social Media Backlash (potentially - depending on context of replies/engagement),-0.013131,,
"Social Media Backlash (potentially - depending on tone interpreted from ""hope it's not a trick!"")",,-0.070634,
Speculation/Rumor,-0.017290,0.000474,-0.015630
Speculation/Rumor (due to potential market reaction to the news),,0.003283,
Speculation/Rumor (due to the hashtag-driven nature and potential for collecting/speculation on vintage items),,0.000590,
Speculation/Rumor (due to the promotional nature and use of hashtags - could indicate trending item/activity),,-0.004420,
Speculation/Rumor (given the promotional nature and link to an eBay listing with hashtags - suggests potential for trending/buzz),-0.023911,,
Speculation/Rumor (regarding impact of political funding).,,,0.035772
Speculation/Rumor (regarding potential demand/resale value),0.011417,,
Stock Price Drop,,,-0.003899
Supply Chain Disruption,,-0.000949,0.005880
Supply Chain Disruption (potential - delays *could* indicate this),,,-0.016188
This text is clearly about a vintage collectible item being sold on eBay. It has absolutely no relevance to financial markets. Therefore,-0.057807,,
This text is clearly an advertisement and does not contain any financial information. Therefore,0.000590,,
This text is clearly an advertisement for a product (LED lights for trucks/trailers) on eBay. It doesn't relate to any financial market events or concepts. Therefore,0.012360,,
This text is clearly an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,0.009572,,
This text is clearly an advertisement for a product on eBay. It doesn't relate to any financial market events or concepts. Therefore,,0.018614,
This text is clearly an advertisement for jewelry beads on eBay. It does not contain any financial information or relate to market events. Therefore,0.000530,,
This text is clearly unrelated to financial markets. It's an advertisement for gemstone beads on eBay. Therefore,-0.045942,,
This text is completely irrelevant to financial markets. It's an advertisement for a used military uniform on eBay.,,-0.005064,
This text is essentially an advertisement for a product on eBay. It has no relevance to financial markets. Therefore,0.015160,,
This text is overwhelmingly focused on retail/e-commerce listings and contains no financial information. Therefore,,0.015160,
This text is simply an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,0.000530,,
Trade Policy Change,,0.012921,-0.003732
Viral Marketing Campaign,-0.027533,-0.012159,-0.005041
depending on context - could be promoting or reacting to something),0.011417,,
depending on context - the hashtag usage suggests trending topic/discussion),,,0.005137
depending on how the hashtag campaign unfolds - could generate negative sentiment if perceived as exploitative),,0.036485,
"depending on interpretation of ""reflects on his #First100days"")",,-0.061634,
"depending on interpretation of showing ""wins"")",,-0.061634,
due to social media aspect),,,-0.001517
if the campaign is successful and generates positive attention for T-Mobile).,,0.036485,
it *could* lead to Brand Boycott/Customer Lawsuit - but is weak),,,0.035772
it doesn't fit any of the provided market-relevant explanation tags.,,0.015160,
it doesn't fit any of the provided tags.,0.004159,,
no relevant tags apply.,-0.045942,,
no tags apply.,-0.010096,0.018614,
